,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,distanceSumHi,distanceSumLow,differentialDistanceFromRoof65,differentialDistanceFromRoof67,differentialDistanceFromRoof57
136,52.82,18.48,21.57,17.4,49.86,51.68,110.79,GLASS,71.3,38.97,1.8200000000000003,-59.11000000000001,-60.93000000000001
137,53.68,18.45,21.56,17.5,50.21,50.87,111.19,GLASS,72.13,39.06,0.6599999999999966,-60.32,-60.98
138,53.61,18.46,21.61,17.43,49.72,52.19,81.15,GLASS,72.07,39.04,2.469999999999999,-28.960000000000008,-31.430000000000007
139,53.65,18.49,21.65,17.46,49.81,52.53,106.92,GLASS,72.14,39.11,2.719999999999999,-54.39,-57.11
140,53.62,18.42,21.61,17.36,50.31,52.11,106.56,GLASS,72.03999999999999,38.97,1.7999999999999972,-54.45,-56.25
141,53.65,18.56,21.63,17.42,49.81,52.44,34.33,GLASS,72.21,39.05,2.6299999999999955,18.11,15.480000000000004
142,52.8,18.5,21.61,17.46,49.77,52.53,80.79,GLASS,71.3,39.07,2.759999999999998,-28.260000000000005,-31.020000000000003
143,53.66,18.53,21.59,17.39,50.25,52.51,107.74,GLASS,72.19,38.980000000000004,2.259999999999998,-55.23,-57.489999999999995
144,52.88,18.55,21.68,17.46,50.58,52.52,107.61,GLASS,71.43,39.14,1.9400000000000048,-55.089999999999996,-57.03
145,53.66,18.44,21.64,17.47,49.76,52.17,105.99,GLASS,72.1,39.11,2.4100000000000037,-53.81999999999999,-56.23
146,53.6,18.5,21.57,17.38,50.29,51.63,34.81,GLASS,72.1,38.95,1.3400000000000034,16.82,15.479999999999997
147,53.65,18.51,21.65,17.41,50.67,52.56,7.55,GLASS,72.16,39.06,1.8900000000000006,45.010000000000005,43.120000000000005
148,53.18,18.5,21.59,17.37,50.18,52.47,107.77,GLASS,71.68,38.96,2.289999999999999,-55.3,-57.589999999999996
149,53.26,18.5,21.62,17.46,49.82,52.54,111.14,GLASS,71.75999999999999,39.08,2.719999999999999,-58.6,-61.32
150,53.58,18.52,21.71,17.3,50.27,51.7,110.65,GLASS,72.1,39.010000000000005,1.4299999999999997,-58.95,-60.38
151,53.65,18.54,21.64,17.45,50.2,51.68,111.14,GLASS,72.19,39.09,1.4799999999999969,-59.46,-60.94
152,48.56,50.96,14.53,30.73,27.14,25.8,96.35,RECTANGULAR_BOX,99.52000000000001,45.26,-1.3399999999999999,-70.55,-69.21
153,47.17,50.59,14.52,30.65,26.77,26.15,101.68,RECTANGULAR_BOX,97.76,45.17,-0.620000000000001,-75.53,-74.91000000000001
154,48.57,50.96,14.52,30.69,26.75,25.78,101.54,RECTANGULAR_BOX,99.53,45.21,-0.9699999999999989,-75.76,-74.79
155,48.55,50.98,14.58,30.78,26.79,25.65,108.28,RECTANGULAR_BOX,99.53,45.36,-1.1400000000000006,-82.63,-81.49000000000001
156,48.55,13.4,14.57,30.75,26.69,25.8,103.19,RECTANGULAR_BOX,61.949999999999996,45.32,-0.8900000000000006,-77.39,-76.5
157,48.55,51.03,14.52,30.76,27.16,25.75,104.18,RECTANGULAR_BOX,99.58,45.28,-1.4100000000000001,-78.43,-77.02000000000001
158,48.53,50.61,14.58,30.71,26.72,26.18,108.55,RECTANGULAR_BOX,99.14,45.29,-0.5399999999999991,-82.37,-81.83
159,48.53,14.73,14.54,30.76,26.7,25.73,46.56,RECTANGULAR_BOX,63.260000000000005,45.3,-0.9699999999999989,-20.830000000000002,-19.860000000000003
160,48.56,14.72,14.44,30.76,26.77,25.77,114.29,RECTANGULAR_BOX,63.28,45.2,-1.0,-88.52000000000001,-87.52000000000001
161,48.54,50.56,14.47,30.73,26.75,25.73,106.74,RECTANGULAR_BOX,99.1,45.2,-1.0199999999999996,-81.00999999999999,-79.99
162,48.13,14.78,14.5,30.76,26.7,26.14,109.95,RECTANGULAR_BOX,62.910000000000004,45.260000000000005,-0.5599999999999987,-83.81,-83.25
163,48.52,13.52,14.56,30.69,27.15,25.78,109.39,RECTANGULAR_BOX,62.040000000000006,45.25,-1.3699999999999974,-83.61,-82.24000000000001
164,10.36,4.26,35.71,12.94,22.03,23.99,122.23,RECTANGULAR_BOX_SIDE,14.62,48.65,1.9599999999999973,-98.24000000000001,-100.2
177,48.02,10.57,53.82,46.91,27.28,27.02,118.36,RECTANGULAR_BOX,58.59,100.72999999999999,-0.26000000000000156,-91.34,-91.08
178,47.56,9.78,54.17,47.39,26.87,24.92,63.33,RECTANGULAR_BOX,57.34,101.56,-1.9499999999999993,-38.41,-36.459999999999994
179,47.62,10.56,54.25,47.39,26.86,24.93,117.89,RECTANGULAR_BOX,58.18,101.64,-1.9299999999999997,-92.96000000000001,-91.03
180,47.98,9.77,54.22,47.41,27.33,24.95,7.31,RECTANGULAR_BOX,57.75,101.63,-2.379999999999999,17.64,20.02
181,48.06,9.77,54.31,47.03,26.92,24.91,32.31,RECTANGULAR_BOX,57.83,101.34,-2.0100000000000016,-7.400000000000002,-5.390000000000001
182,48.04,9.75,54.26,47.34,27.39,24.87,26.15,RECTANGULAR_BOX,57.79,101.6,-2.5199999999999996,-1.2799999999999976,1.240000000000002
183,47.95,9.75,54.19,47.41,27.33,24.97,114.49,RECTANGULAR_BOX,57.7,101.6,-2.3599999999999994,-89.52,-87.16
184,47.65,10.66,54.27,47.37,27.33,24.91,114.41,RECTANGULAR_BOX,58.31,101.64,-2.419999999999998,-89.5,-87.08
185,48.04,9.76,54.21,47.29,27.35,24.94,113.5,RECTANGULAR_BOX,57.8,101.5,-2.41,-88.56,-86.15
186,47.55,9.64,54.22,47.32,26.85,24.94,114.08,RECTANGULAR_BOX,57.19,101.53999999999999,-1.9100000000000001,-89.14,-87.22999999999999
187,48.03,9.67,54.26,47.29,26.9,24.99,113.97,RECTANGULAR_BOX,57.7,101.55,-1.9100000000000001,-88.98,-87.07
188,48.07,9.8,54.32,47.38,27.35,3.86,117.82,RECTANGULAR_BOX,57.870000000000005,101.7,-23.490000000000002,-113.96,-90.47
189,47.93,10.55,54.28,47.42,27.27,24.99,116.97,RECTANGULAR_BOX,58.480000000000004,101.7,-2.280000000000001,-91.98,-89.7
190,48.0,9.74,54.28,47.39,26.9,24.98,112.17,RECTANGULAR_BOX,57.74,101.67,-1.9199999999999982,-87.19,-85.27000000000001
191,48.04,9.76,54.62,47.41,27.37,24.92,105.39,RECTANGULAR_BOX,57.8,102.03,-2.4499999999999993,-80.47,-78.02
192,48.03,10.58,54.68,47.29,27.29,25.38,116.93,RECTANGULAR_BOX,58.61,101.97,-1.9100000000000001,-91.55000000000001,-89.64000000000001
193,47.6,10.55,54.21,47.37,27.3,24.92,116.48,RECTANGULAR_BOX,58.150000000000006,101.58,-2.379999999999999,-91.56,-89.18
194,47.53,9.64,54.23,47.27,26.95,24.92,112.6,RECTANGULAR_BOX,57.17,101.5,-2.0299999999999976,-87.67999999999999,-85.64999999999999
195,47.55,10.55,53.84,47.39,27.34,24.99,112.08,RECTANGULAR_BOX,58.099999999999994,101.23,-2.3500000000000014,-87.09,-84.74
196,47.57,10.55,54.64,47.26,26.87,24.88,115.56,RECTANGULAR_BOX,58.120000000000005,101.9,-1.990000000000002,-90.68,-88.69
197,47.55,10.59,54.64,47.39,27.26,24.92,112.55,RECTANGULAR_BOX,58.14,102.03,-2.34,-87.63,-85.28999999999999
198,47.53,10.54,53.46,47.33,27.33,25.02,116.05,RECTANGULAR_BOX,58.07,100.78999999999999,-2.3099999999999987,-91.03,-88.72
199,47.55,9.73,54.25,47.0,27.29,24.95,112.12,RECTANGULAR_BOX,57.28,101.25,-2.34,-87.17,-84.83000000000001
200,47.58,9.69,54.3,47.31,27.32,24.92,111.95,RECTANGULAR_BOX,57.269999999999996,101.61,-2.3999999999999986,-87.03,-84.63
201,47.55,9.67,54.2,47.37,27.38,24.97,36.69,RECTANGULAR_BOX,57.22,101.57,-2.41,-11.719999999999999,-9.309999999999999
202,47.57,9.73,54.26,47.33,27.4,25.42,80.07,RECTANGULAR_BOX,57.3,101.59,-1.9799999999999969,-54.64999999999999,-52.669999999999995
203,47.99,9.69,54.6,46.9,27.33,24.95,73.89,RECTANGULAR_BOX,57.68,101.5,-2.379999999999999,-48.94,-46.56
