Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609939688,65.18,55.42,55.36,52.56,48.38,48.96,72.84,EMPTY_SEVEN
1609939705,57.92,55.39,55.36,52.96,48.41,48.92,109.11,EMPTY_SEVEN
1609939723,57.47,55.47,55.78,52.98,48.4,48.51,109.7,EMPTY_SEVEN
1609939741,66.5,55.43,55.78,53.02,48.31,49.04,113.2,EMPTY_SEVEN
1609939758,58.36,55.41,55.71,52.92,48.31,48.97,109.11,EMPTY_SEVEN
1609939776,56.99,55.38,55.33,53.04,48.35,48.51,109.11,EMPTY_SEVEN
1609939793,57.85,55.33,55.29,52.98,48.3,48.96,109.29,EMPTY_SEVEN
1609939811,57.02,55.33,55.38,52.88,48.34,48.98,108.76,EMPTY_SEVEN
1609939828,57.03,55.36,55.31,52.91,48.32,48.63,108.54,EMPTY_SEVEN
1609939846,56.63,55.45,56.2,53.01,48.38,48.51,36.42,EMPTY_SEVEN
1609939863,65.54,54.96,55.75,53.4,48.37,48.99,76.3,EMPTY_SEVEN
1609939881,58.77,55.02,55.83,53.45,48.36,48.54,108.98,EMPTY_SEVEN
1609939899,56.57,55.37,55.76,52.99,48.33,49.06,111.49,EMPTY_SEVEN
1609939916,57.5,55.42,56.15,52.94,48.85,48.96,113.15,EMPTY_SEVEN
1609939934,57.07,55.31,56.25,52.93,48.36,48.53,111.23,EMPTY_SEVEN
1609939951,57.0,55.46,55.32,53.0,48.39,48.98,111.77,EMPTY_SEVEN
1609939969,58.84,55.48,55.87,52.94,48.36,48.97,111.87,EMPTY_SEVEN
1609939986,57.44,55.42,56.16,53.35,48.3,49.05,116.32,EMPTY_SEVEN
1609940004,57.56,55.01,56.17,53.39,48.35,49.48,62.62,EMPTY_SEVEN
1609940021,57.03,55.37,56.21,52.99,48.35,49.49,90.37,EMPTY_SEVEN
1609940039,57.44,55.48,56.19,52.98,48.34,49.03,56.88,EMPTY_SEVEN
1609940056,57.06,55.37,56.17,52.91,48.39,49.02,68.74,EMPTY_SEVEN
1609940074,57.47,55.45,55.83,53.44,48.31,48.6,27.08,EMPTY_SEVEN
1609940092,57.52,55.04,55.82,53.04,48.37,49.47,44.94,EMPTY_SEVEN
1609940109,57.58,55.02,56.18,53.42,48.31,48.97,35.73,EMPTY_SEVEN
1609940127,57.53,54.95,55.78,53.38,48.8,49.01,3.03,EMPTY_SEVEN
1609940144,57.06,55.48,55.36,52.97,48.76,49.01,107.06,EMPTY_SEVEN
1609940162,58.41,55.03,55.78,53.4,48.38,49.01,106.63,EMPTY_SEVEN
1609940179,56.64,55.04,55.82,53.39,48.33,49.03,107.48,EMPTY_SEVEN
1609940197,57.47,55.49,56.27,53.4,48.44,48.99,105.53,EMPTY_SEVEN
1609940214,57.06,54.99,55.83,53.38,48.35,48.58,106.8,EMPTY_SEVEN
1609940232,57.91,55.42,55.77,53.4,48.86,48.97,106.18,EMPTY_SEVEN
1609940250,57.48,55.4,56.15,53.38,48.4,48.98,24.26,EMPTY_SEVEN
1609940267,57.54,55.37,55.87,53.37,48.43,49.05,107.43,EMPTY_SEVEN
1609940285,57.45,55.04,55.85,53.38,48.42,49.0,106.69,EMPTY_SEVEN
1609940302,57.46,55.08,55.79,53.39,48.43,48.65,106.45,EMPTY_SEVEN
1609940320,57.51,55.44,55.42,53.47,48.46,48.98,106.84,EMPTY_SEVEN
1609940337,58.76,55.4,55.39,53.03,48.34,49.07,110.69,EMPTY_SEVEN
1609940355,56.65,54.96,55.49,53.43,48.4,48.58,106.04,EMPTY_SEVEN
1609940372,58.8,55.37,55.83,53.43,48.38,49.07,106.51,EMPTY_SEVEN
1609940390,56.68,55.4,55.85,53.39,48.35,48.65,106.02,EMPTY_SEVEN
1609940408,57.02,55.02,55.42,52.95,48.43,48.61,105.77,EMPTY_SEVEN
1609940425,57.53,54.96,55.4,53.05,48.4,49.06,105.91,EMPTY_SEVEN
1609940443,57.92,55.1,55.78,52.57,48.4,48.55,106.46,EMPTY_SEVEN
1609940460,57.56,55.02,55.36,53.43,48.46,48.6,106.2,EMPTY_SEVEN
1609940478,57.06,55.02,55.81,53.36,48.43,49.03,106.01,EMPTY_SEVEN
1609940495,56.21,55.08,55.37,52.93,48.35,49.03,105.95,EMPTY_SEVEN
1609940513,57.95,55.05,55.37,53.02,48.4,49.06,109.34,EMPTY_SEVEN
1609940530,57.5,55.02,55.41,53.03,48.4,48.64,105.07,EMPTY_SEVEN
1609940548,57.96,55.07,55.42,53.02,48.42,48.65,105.09,EMPTY_SEVEN
1609940566,57.5,55.1,55.38,53.35,48.38,49.06,105.31,EMPTY_SEVEN
1609940583,57.92,55.13,55.38,52.56,48.36,49.07,105.46,EMPTY_SEVEN
1609940601,57.49,55.02,55.43,52.64,48.43,48.99,105.92,EMPTY_SEVEN
1609940618,56.72,55.09,55.49,53.11,48.38,48.57,28.1,EMPTY_SEVEN
1609940636,56.61,55.11,55.44,51.85,48.38,48.62,34.71,EMPTY_SEVEN
1609940653,57.45,55.04,55.38,52.65,48.41,49.01,105.4,EMPTY_SEVEN
1609940671,57.47,55.09,55.4,52.6,48.45,48.58,104.77,EMPTY_SEVEN
1609940688,57.89,55.02,55.84,52.68,48.42,49.02,104.56,EMPTY_SEVEN
1609940706,56.61,55.0,55.79,52.62,48.45,48.64,105.53,EMPTY_SEVEN
1609940724,57.1,55.39,55.36,53.01,48.4,49.07,105.89,EMPTY_SEVEN
1609940741,57.1,55.44,55.42,52.98,48.32,48.58,104.77,EMPTY_SEVEN
1609940759,57.11,55.1,56.22,52.63,48.38,49.01,103.78,EMPTY_SEVEN
1609940776,59.29,55.01,55.45,53.01,48.35,48.68,105.45,EMPTY_SEVEN
1609940794,57.99,55.48,56.25,52.69,48.33,49.08,13.18,EMPTY_SEVEN
1609940811,56.64,55.04,55.86,52.73,48.38,48.99,3.72,EMPTY_SEVEN
1609940829,57.96,55.42,58.75,52.57,48.39,49.52,105.01,EMPTY_SEVEN
1609940846,56.63,55.02,55.81,53.04,48.45,49.07,69.26,EMPTY_SEVEN
1609940864,56.68,55.37,56.25,52.62,48.36,49.01,56.2,EMPTY_SEVEN
1609940882,56.76,55.06,55.9,52.98,48.4,48.72,5.09,EMPTY_SEVEN
1609940899,58.01,55.39,56.28,52.62,48.43,49.15,105.08,EMPTY_SEVEN
1609940917,57.45,55.43,56.27,53.01,48.52,49.1,64.92,EMPTY_SEVEN
