Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609432012,91.81,212.0,5101.19,89.75,EMPTY
1609432022,91.83,214.88,3.94,89.7,EMPTY
1609432033,92.67,5467.39,5093.27,89.69,EMPTY
1609432043,90.66,4.23,3.95,89.72,EMPTY
1609432053,91.42,214.02,5117.0,89.77,EMPTY
1609432063,91.85,214.05,3.97,89.72,EMPTY
1609432073,90.58,216.63,5173.07,89.75,EMPTY
1609432084,92.65,5437.92,3.96,89.76,EMPTY
