Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609513337,84.1,39.19,39.71,70.82,WALL_3D
1609513347,83.71,39.69,39.56,72.99,WALL_3D
1609513357,82.78,39.16,39.61,72.15,WALL_3D
1609513367,83.7,39.53,39.57,72.12,WALL_3D
1609513377,83.23,39.56,40.1,71.72,WALL_3D
1609513387,83.66,39.49,39.6,72.15,WALL_3D
1609513397,83.64,39.58,40.04,72.53,WALL_3D
1609513407,84.5,39.54,40.07,72.55,WALL_3D
1609513417,83.68,39.54,39.65,72.58,WALL_3D
1609513427,83.19,39.56,39.65,71.8,WALL_3D
1609513437,83.69,39.58,39.68,71.7,WALL_3D
1609513447,84.9,39.57,39.69,72.21,WALL_3D
1609513457,83.23,39.56,40.1,71.79,WALL_3D
1609513467,84.06,39.54,39.72,53.88,WALL_3D
1609513477,5.43,15.12,15.27,5.2,WALL_3D
1609513487,5.75,15.11,15.34,5.18,WALL_3D
1609513497,5.36,15.14,15.35,5.2,WALL_3D
1609513507,5.42,15.13,15.36,5.27,WALL_3D
1609513517,5.36,15.1,15.28,50.73,WALL_3D
1609513527,68.45,55.24,50.31,50.26,WALL_3D
1609513537,73.22,55.65,50.29,50.64,WALL_3D
1609513548,60.79,54.92,49.93,50.66,WALL_3D
1609513558,60.73,57.01,50.71,51.07,WALL_3D
1609513568,61.16,55.72,50.35,50.74,WALL_3D
1609513578,70.6,54.91,50.24,50.76,WALL_3D
1609513588,60.82,55.18,50.34,50.67,WALL_3D
1609513598,71.44,54.82,50.31,50.6,WALL_3D
1609513608,59.1,55.17,49.91,50.58,WALL_3D
1609513618,62.01,56.11,50.27,50.71,WALL_3D
1609513628,60.27,55.28,50.71,50.73,WALL_3D
1609513638,70.61,55.68,50.7,51.15,WALL_3D
1609513648,70.62,56.09,49.93,50.65,WALL_3D
1609513658,70.14,54.82,50.75,50.64,WALL_3D
1609513668,60.01,55.68,50.31,50.64,WALL_3D
1609513678,69.39,55.72,49.93,50.67,WALL_3D
1609513688,70.55,56.97,49.93,50.67,WALL_3D
1609513698,61.2,54.82,49.85,50.75,WALL_3D
1609513708,61.2,55.65,49.89,50.69,WALL_3D
1609513718,69.38,54.81,49.89,50.74,WALL_3D
1609513728,70.2,54.02,50.29,50.64,WALL_3D
1609513738,174.27,58.58,50.13,50.22,WALL_3D
1609513748,51.39,59.15,50.02,50.19,WALL_3D
1609513758,52.64,59.0,51.21,50.6,WALL_3D
1609513768,34.08,39.97,50.32,50.64,WALL_3D
1609513778,53.52,46.73,50.73,50.25,WALL_3D
1609513788,173.02,58.56,50.71,50.23,WALL_3D
1609513798,175.79,55.26,49.86,52.02,WALL_3D
1609513808,52.17,49.12,47.76,65.05,WALL_3D
