Time,SensorId,Value
1608991838.8492737,HCSR04_001,10.68
1608991840.8539236,HCSR04_001,11.94
1608991842.8591018,HCSR04_001,11.71
1608991844.8641024,HCSR04_001,11.76
1608991846.8694215,HCSR04_001,12.14
1608991848.8745322,HCSR04_001,11.78
1608991850.8789625,HCSR04_001,13.92
1608991852.8844833,HCSR04_001,11.58
1608991854.889525,HCSR04_001,11.57
1608991856.8944721,HCSR04_001,10.99
1608991858.8996253,HCSR04_001,11.02
1608991860.9046867,HCSR04_001,11.0
1608991862.909996,HCSR04_001,11.56
1608991864.9150324,HCSR04_001,11.49
1608991866.9200702,HCSR04_001,11.45
1608991868.9251175,HCSR04_001,11.42
1608991870.9313674,HCSR04_001,11.43
1608991872.936532,HCSR04_001,11.33
1608991874.9417129,HCSR04_001,11.46
1608991876.9467497,HCSR04_001,11.04
1608991878.9519339,HCSR04_001,10.88
1608991880.956915,HCSR04_001,11.39
1608991882.9621863,HCSR04_001,11.39
1608991884.9671028,HCSR04_001,11.36
1608991886.9723542,HCSR04_001,11.33
1608991888.9774048,HCSR04_001,11.32
1608991890.9825878,HCSR04_001,11.31
1608991892.9876263,HCSR04_001,11.28
1608991894.9932055,HCSR04_001,11.32
1608991896.998329,HCSR04_001,11.04
1608991899.0034385,HCSR04_001,11.04
1608991901.0085237,HCSR04_001,11.38
1608991903.2385697,HCSR04_001,11.34
1608991905.2436252,HCSR04_001,11.2
1608991907.2486339,HCSR04_001,10.35
1608991909.254102,HCSR04_001,24.99
1608991911.2595086,HCSR04_001,7.17
1608991913.2644,HCSR04_001,9.26
1608991915.2693746,HCSR04_001,11.0
1608991917.2746298,HCSR04_001,18.15
1608991919.280318,HCSR04_001,26.35
1608991921.2862334,HCSR04_001,24.77
1608991923.2923431,HCSR04_001,24.59
1608991925.2983432,HCSR04_001,24.98
1608991927.3043642,HCSR04_001,25.16
1608991929.310275,HCSR04_001,26.7
1608991931.3172233,HCSR04_001,59.6
1608991933.3236685,HCSR04_001,10.17
1608991935.328847,HCSR04_001,10.0
