Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609940982,108.65,19.91,116.8,18.36,48.96,49.18,104.72,BEAN_CAN
1609941000,85.54,19.79,117.34,17.94,48.9,48.8,104.49,BEAN_CAN
1609941017,109.09,19.83,113.45,18.44,48.47,48.69,103.76,BEAN_CAN
1609941035,85.99,19.88,116.96,17.99,48.49,48.8,106.02,BEAN_CAN
1609941053,86.46,19.9,113.89,17.97,48.5,49.18,7.32,BEAN_CAN
1609941070,89.84,19.84,114.79,17.95,48.92,48.72,104.6,BEAN_CAN
1609941088,109.12,19.8,118.22,18.03,48.56,49.58,104.58,BEAN_CAN
1609941105,108.21,19.88,116.15,18.08,48.55,48.83,105.02,BEAN_CAN
1609941123,88.67,19.82,117.29,17.98,48.52,48.76,103.82,BEAN_CAN
1609941140,86.41,19.85,115.6,17.99,48.48,49.66,104.28,BEAN_CAN
1609941158,87.79,19.89,114.74,17.93,48.55,49.17,104.66,BEAN_CAN
1609941175,109.11,19.91,117.96,17.94,48.87,48.72,108.92,BEAN_CAN
1609941193,108.98,19.88,121.07,18.05,48.46,48.73,109.08,BEAN_CAN
1609941211,109.11,19.85,116.96,17.99,48.97,49.21,103.95,BEAN_CAN
1609941228,86.39,19.77,115.16,17.92,48.55,49.18,104.44,BEAN_CAN
1609941246,88.95,19.85,115.21,17.96,48.47,49.24,104.2,BEAN_CAN
1609941263,86.48,19.82,115.65,18.01,48.94,48.68,104.27,BEAN_CAN
1609941281,108.58,19.85,28.95,17.97,48.96,49.63,104.45,BEAN_CAN
1609941298,109.07,19.81,119.02,18.02,48.47,48.82,103.98,BEAN_CAN
1609941316,89.93,19.89,116.05,18.0,48.54,48.76,104.07,BEAN_CAN
1609941334,89.49,19.81,115.65,17.94,48.49,48.73,104.36,BEAN_CAN
1609941351,108.64,19.79,78.71,17.98,49.05,48.59,104.25,BEAN_CAN
1609941369,88.23,19.85,117.77,17.98,48.92,48.78,104.03,BEAN_CAN
1609941386,110.3,19.9,115.23,18.01,48.6,48.72,107.9,BEAN_CAN
1609941404,108.24,19.84,120.34,18.01,48.52,49.17,115.24,BEAN_CAN
1609941421,87.78,19.81,116.94,18.0,48.98,49.59,104.85,BEAN_CAN
1609941439,89.25,19.77,116.87,17.98,49.0,48.78,103.79,BEAN_CAN
1609941456,87.68,19.86,113.96,18.07,49.01,49.18,103.56,BEAN_CAN
1609941474,109.01,19.86,115.7,18.07,48.5,49.16,108.68,BEAN_CAN
1609941492,89.54,19.77,114.36,18.0,48.89,49.12,103.31,BEAN_CAN
1609941509,87.78,19.88,117.31,18.03,48.56,48.78,103.56,BEAN_CAN
