Time,SensorId,Value
1609152044.827507,HCSR04_001,141.1
1609152046.9410706,HCSR04_002,164.93
1609152049.0549698,HCSR04_001,141.46
1609152051.1678362,HCSR04_002,147.63
1609152053.2813282,HCSR04_001,145.43
1609152055.3902476,HCSR04_002,5.77
1609152057.4994104,HCSR04_001,141.13
1609152059.6112602,HCSR04_002,6.37
1609152061.7204912,HCSR04_001,143.72
1609152063.8338451,HCSR04_002,48.27
1609152065.9488049,HCSR04_001,142.09
1609152068.0604722,HCSR04_002,3.22
1609152070.1746662,HCSR04_001,139.85
1609152072.2906961,HCSR04_002,150.38
1609152074.4046352,HCSR04_001,3.52
1609152076.5171952,HCSR04_002,149.57
1609152078.6308265,HCSR04_001,3.51
1609152080.7425683,HCSR04_002,148.71
