Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609511942,53.05,11.87,52.25,51.0,WALL_3D
1609511952,53.11,209.58,51.83,51.09,WALL_3D
1609511962,52.65,210.86,51.34,51.03,WALL_3D
1609511972,52.65,146.97,52.36,51.82,WALL_3D
1609511982,53.46,11.83,52.63,50.98,WALL_3D
1609511992,52.31,12.61,52.66,50.62,WALL_3D
1609512002,107.93,59.9,50.53,50.99,WALL_3D
1609512012,112.22,59.9,50.42,26.65,WALL_3D
1609512022,23.12,11.78,24.15,22.46,WALL_3D
1609512032,23.11,25.21,24.19,22.49,WALL_3D
1609512042,23.22,11.83,23.75,22.45,WALL_3D
1609512052,23.2,25.56,68.22,33.98,WALL_3D
1609512063,34.96,52.36,5092.67,34.04,WALL_3D
1609512073,34.92,11.89,3.96,34.01,WALL_3D
1609512083,35.56,11.87,5071.05,33.96,WALL_3D
1609512093,34.97,11.92,4.0,33.97,WALL_3D
1609512103,34.92,11.81,5016.95,33.97,WALL_3D
1609512113,34.96,51.01,4.02,34.01,WALL_3D
1609512123,34.94,10.95,169.31,34.05,WALL_3D
