Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609510921,50.16,4.24,5271.5,51.09,WALL_3D
1609510931,52.31,5478.41,3.93,51.07,WALL_3D
1609510941,52.24,4.29,5247.15,51.04,WALL_3D
1609510952,51.9,5556.52,4.04,51.07,WALL_3D
1609510962,52.72,4.27,5198.45,51.11,WALL_3D
1609510972,51.8,5515.46,4.0,51.06,WALL_3D
1609510983,51.71,4.25,5182.77,51.43,WALL_3D
1609510993,51.85,5514.95,3.88,51.12,WALL_3D
1609511003,51.85,4.2,5193.18,51.07,WALL_3D
1609511014,51.89,5559.11,3.92,51.39,WALL_3D
1609511024,51.86,4.28,5268.08,51.11,WALL_3D
1609511034,51.8,5573.48,3.93,51.47,WALL_3D
1609511045,51.94,4.35,5226.82,51.11,WALL_3D
1609511055,51.94,5519.13,4.0,51.05,WALL_3D
1609511066,51.87,4.24,5233.22,51.0,WALL_3D
1609511076,51.88,5561.65,3.91,51.13,WALL_3D
1609511086,53.81,4.34,5197.37,51.1,WALL_3D
1609511097,51.82,5528.07,3.99,51.41,WALL_3D
1609511107,51.88,4.31,5207.33,51.06,WALL_3D
1609511117,51.94,5559.14,3.97,51.06,WALL_3D
1609511128,51.88,4.22,5243.95,51.07,WALL_3D
1609511138,51.89,5564.24,4.02,51.09,WALL_3D
1609511148,51.78,4.31,5189.91,51.05,WALL_3D
1609511159,51.8,5574.7,3.93,51.48,WALL_3D
1609511169,53.16,4.26,5210.14,51.13,WALL_3D
1609511179,51.82,5555.89,4.07,51.09,WALL_3D
1609511190,51.81,4.3,5247.97,51.14,WALL_3D
1609511200,52.68,5558.98,3.98,51.12,WALL_3D
1609511210,51.92,4.22,5229.94,51.07,WALL_3D
1609511221,51.9,5500.65,3.93,51.47,WALL_3D
1609511231,52.69,4.31,5229.66,51.43,WALL_3D
1609511241,52.74,5564.17,3.98,51.08,WALL_3D
1609511252,51.88,4.19,5189.09,51.01,WALL_3D
1609511262,51.83,5571.3,3.93,51.01,WALL_3D
1609511272,51.88,4.2,5185.07,49.71,WALL_3D
1609511283,51.9,5555.98,3.98,51.13,WALL_3D
1609511293,52.77,4.25,5225.84,51.5,WALL_3D
1609511303,51.86,634.91,4.03,51.12,WALL_3D
1609511314,51.86,5606.52,5255.3,51.1,WALL_3D
1609511324,51.92,4.28,3.96,51.08,WALL_3D
1609511335,52.76,5578.44,5209.62,51.07,WALL_3D
1609511345,51.91,4.28,3.91,51.03,WALL_3D
1609511355,51.86,5565.22,5199.05,51.07,WALL_3D
1609511365,51.93,4.24,4.02,51.11,WALL_3D
1609511376,51.85,5601.17,5199.74,51.01,WALL_3D
1609511386,50.64,4.26,3.93,51.14,WALL_3D
1609511397,51.93,5629.87,5160.26,51.1,WALL_3D
1609511407,52.74,4.22,4.0,51.07,WALL_3D
1609511417,52.79,5561.72,5162.41,51.07,WALL_3D
1609511427,52.75,4.31,3.99,51.03,WALL_3D
1609511438,51.8,5605.97,5201.45,51.14,WALL_3D
1609511448,52.76,4.31,4.0,51.03,WALL_3D
1609511459,51.92,5553.26,5265.17,51.12,WALL_3D
1609511469,52.69,4.35,3.99,51.05,WALL_3D
1609511479,51.86,5607.05,5178.12,51.06,WALL_3D
1609511490,52.71,4.25,3.98,52.89,WALL_3D
1609511500,51.81,5597.17,5237.41,51.09,WALL_3D
1609511510,52.67,4.28,3.94,51.07,WALL_3D
1609511520,51.68,77.59,73.79,28.41,WALL_3D
1609511530,27.16,77.1,67.32,101.72,WALL_3D
1609511540,19.97,9.72,51.52,51.44,WALL_3D
1609511550,52.26,11.38,51.19,51.06,WALL_3D
1609511560,51.92,62.86,52.55,51.13,WALL_3D
1609511570,51.25,69.22,51.22,51.41,WALL_3D
1609511581,51.39,4.74,3.94,50.66,WALL_3D
1609511591,51.88,75.81,52.14,51.03,WALL_3D
1609511601,51.91,77.02,51.32,51.06,WALL_3D
1609511611,51.45,111.18,52.62,25.2,WALL_3D
1609511621,50.49,64.13,51.0,51.82,WALL_3D
1609511631,52.54,68.33,50.73,21.33,WALL_3D
1609511641,53.25,74.33,51.1,29.51,WALL_3D
1609511651,51.36,62.98,52.18,50.99,WALL_3D
1609511661,52.62,65.79,52.69,51.0,WALL_3D
1609511671,51.42,90.45,52.71,51.38,WALL_3D
1609511681,51.88,65.47,53.45,50.61,WALL_3D
1609511691,52.3,107.54,66.13,14.07,WALL_3D
1609511701,36.8,20.94,11.47,16.25,WALL_3D
1609511711,51.64,12.77,54.32,71.21,WALL_3D
1609511721,51.84,65.39,52.24,51.84,WALL_3D
1609511731,53.03,65.71,58.52,51.39,WALL_3D
1609511741,52.71,67.88,90.78,51.06,WALL_3D
1609511751,52.63,12.65,52.16,51.91,WALL_3D
1609511761,51.81,102.74,58.09,51.08,WALL_3D
1609511771,52.66,12.71,58.09,51.04,WALL_3D
1609511781,52.68,144.17,52.68,52.08,WALL_3D
1609511791,52.65,12.68,54.36,51.44,WALL_3D
1609511801,52.17,102.1,52.66,51.07,WALL_3D
1609511811,53.08,94.17,53.93,50.99,WALL_3D
1609511821,52.29,13.09,57.65,51.46,WALL_3D
1609511831,52.73,140.85,52.71,50.2,WALL_3D
1609511841,52.65,82.73,52.61,50.59,WALL_3D
1609511852,52.66,104.18,52.24,51.08,WALL_3D
1609511862,52.71,205.62,52.6,51.39,WALL_3D
1609511872,53.52,13.12,52.61,51.05,WALL_3D
1609511882,52.58,105.42,52.59,50.91,WALL_3D
1609511892,52.42,140.2,50.64,50.94,WALL_3D
1609511902,53.1,104.19,50.98,51.42,WALL_3D
1609511912,52.68,206.39,51.36,51.0,WALL_3D
1609511922,52.75,104.16,51.8,51.43,WALL_3D
1609511932,53.03,12.65,51.94,51.0,WALL_3D
