Time,SensorId,Value
1608994930.1649346,HCSR04_001,-0.08
1608994932.180036,HCSR04_001,-0.11
1608994934.1974216,HCSR04_001,-0.14
1608994936.2120757,HCSR04_001,-0.1
1608994938.2252684,HCSR04_001,-0.09
1608994940.2301989,HCSR04_001,-0.09
1608994942.2350473,HCSR04_001,-0.09
1608994944.2401516,HCSR04_001,-0.08
1608994946.2459126,HCSR04_001,-0.09
1608994948.2508168,HCSR04_001,-0.07
1608994950.2554708,HCSR04_001,-0.08
1608994952.2612162,HCSR04_001,-0.11
1608994954.2665613,HCSR04_001,-0.08
1608994956.2713675,HCSR04_001,-0.14
1608994958.2762814,HCSR04_001,-0.09
1608994960.2811642,HCSR04_001,-0.09
1608994962.2862742,HCSR04_001,-0.1
1608994964.2911162,HCSR04_001,-0.09
1608994966.2960749,HCSR04_001,-0.38
1608994968.3009496,HCSR04_001,-0.08
1608994970.305815,HCSR04_001,-0.1
1608994972.3107429,HCSR04_001,-0.14
1608994974.3289165,HCSR04_001,-0.13
1608994976.3349,HCSR04_001,-0.12
1608994978.3407998,HCSR04_001,-0.08
