Time,SensorId,Value
1608994245.067172,HCSR04_001,138.22
1608994247.081195,HCSR04_001,138.23
1608994249.0942993,HCSR04_001,138.99
1608994251.110046,HCSR04_001,136.83
1608994253.1389809,HCSR04_001,139.1
1608994255.1515193,HCSR04_001,13.51
1608994257.1572227,HCSR04_001,13.91
1608994259.1667142,HCSR04_001,138.96
1608994261.177484,HCSR04_001,71.54
1608994263.1870584,HCSR04_001,71.21
1608994265.1959841,HCSR04_001,70.7
1608994267.2051523,HCSR04_001,70.71
1608994269.2142713,HCSR04_001,71.21
1608994271.2232027,HCSR04_001,70.83
1608994273.2342637,HCSR04_001,144.27
