Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
1609849000,54.19,55.02,55.46,53.16,48.92,48.78,54.28,EMPTY_SEVEN
1609849018,54.28,54.99,55.84,52.8,48.62,2115.5,41.87,RECTANGULAR_BOX
1609849036,20.33,15.92,17.86,19.57,48.22,50.65,92.81,BEAN_CAN
1609849055,20.25,15.99,17.75,53.24,49.05,51.0,100.77,BEAN_CAN
1609849073,55.53,16.85,55.87,19.34,48.54,50.17,60.21,BALL_CENTER
1609849091,56.3,16.83,56.23,22.27,49.8,84.37,108.5,SQUARE_MILK_90
1609849108,39.68,84.64,37.49,52.15,29.87,2116.27,1.08,RECTANGULAR_BOX
1609849126,20.46,17.4,17.97,19.37,49.32,50.91,91.47,BEAN_CAN
