Time,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,ObjectClass
1609433009,43.08,20.58,51.88,19.54,GLASS
1609433019,43.12,20.57,51.52,19.58,GLASS
1609433029,43.05,20.65,51.9,19.54,GLASS
1609433039,43.59,20.63,51.9,19.62,GLASS
1609433049,44.45,20.53,51.93,19.54,GLASS
1609433059,43.09,20.62,51.89,19.59,GLASS
1609433069,43.14,20.63,51.92,19.85,GLASS
1609433079,43.08,20.67,51.9,19.5,GLASS
1609433089,43.53,20.56,51.9,19.58,GLASS
1609433099,43.03,20.56,51.92,19.52,GLASS
