,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
114,52.81,18.53,21.61,17.42,49.78,52.11,110.37,GLASS
115,53.27,18.44,21.62,17.47,50.33,52.07,109.74,GLASS
117,53.25,18.04,21.59,17.45,50.64,52.48,110.29,GLASS
118,53.26,18.55,21.61,17.48,49.84,52.1,110.16,GLASS
119,53.69,18.56,21.54,17.4,49.84,52.08,105.06,GLASS
120,53.19,18.52,21.65,17.43,50.17,52.12,102.3,GLASS
121,53.25,18.53,21.66,17.36,50.23,52.52,110.77,GLASS
124,53.61,18.47,22.53,17.49,50.21,51.66,106.83,GLASS
126,53.23,18.49,21.68,17.46,49.84,52.09,105.93,GLASS
128,53.7,18.5,21.13,17.39,50.66,52.04,106.98,GLASS
129,53.2,18.56,21.68,17.42,50.32,52.1,107.35,GLASS
130,53.63,18.51,21.63,17.41,50.28,52.1,117.08,GLASS
132,53.61,18.49,21.64,17.37,49.77,52.05,105.15,GLASS
133,53.27,18.49,21.62,17.43,49.84,51.63,104.65,GLASS
134,53.26,18.56,21.57,17.38,50.23,52.16,105.82,GLASS
135,53.14,18.51,21.63,17.32,50.53,52.49,107.28,GLASS
136,52.82,18.48,21.57,17.4,49.86,51.68,110.79,GLASS
137,53.68,18.45,21.56,17.5,50.21,50.87,111.19,GLASS
139,53.65,18.49,21.65,17.46,49.81,52.53,106.92,GLASS
140,53.62,18.42,21.61,17.36,50.31,52.11,106.56,GLASS
143,53.66,18.53,21.59,17.39,50.25,52.51,107.74,GLASS
144,52.88,18.55,21.68,17.46,50.58,52.52,107.61,GLASS
145,53.66,18.44,21.64,17.47,49.76,52.17,105.99,GLASS
148,53.18,18.5,21.59,17.37,50.18,52.47,107.77,GLASS
149,53.26,18.5,21.62,17.46,49.82,52.54,111.14,GLASS
150,53.58,18.52,21.71,17.3,50.27,51.7,110.65,GLASS
151,53.65,18.54,21.64,17.45,50.2,51.68,111.14,GLASS
284,53.74,15.67,55.89,18.62,50.72,2108.89,108.02,GLASS
396,53.35,16.45,55.81,17.85,50.56,105.04,107.63,GLASS
398,53.38,16.45,55.77,17.84,50.42,2107.58,109.85,GLASS
