,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,HCSR04_001_empty,HCSR04_002_empty,HCSR04_003_empty,HCSR04_004_empty,HCSR04_005_empty,HCSR04_006_empty,HCSR04_007_empty,HCSR04_001_BIN,HCSR04_002_BIN,HCSR04_003_BIN,HCSR04_004_BIN,HCSR04_005_BIN,HCSR04_006_BIN,HCSR04_007_BIN
49,19.75,17.28,17.81,18.92,50.73,41.99,106.99,1,0,0,0,0,0,0,1,2,2,2,2,1,1,1
50,19.77,17.23,17.74,18.92,50.66,42.08,80.55,1,0,0,0,0,0,0,0,2,2,2,2,1,1,1
51,18.98,18.62,18.8,18.79,50.78,119.22,111.96,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1
52,19.48,18.66,18.76,19.26,50.76,118.73,94.58,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1
53,19.44,18.65,18.79,18.8,50.78,119.6,108.82,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
54,19.51,18.58,18.81,19.16,50.71,119.24,108.9,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
55,19.46,18.67,18.78,18.8,50.83,120.89,109.51,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
56,19.48,18.71,18.81,18.85,50.78,118.3,113.14,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1
57,19.47,18.71,18.83,18.79,50.76,119.67,113.57,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1
58,18.62,18.8,18.68,17.17,50.83,63.06,68.93,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1
59,17.81,18.8,18.66,17.12,50.45,62.63,109.13,2,0,0,0,0,1,0,1,2,2,2,2,1,1,1
60,17.91,18.85,18.71,17.16,50.44,62.26,112.1,2,0,0,0,0,1,0,0,2,2,2,2,1,1,1
61,17.8,18.75,18.7,17.17,50.42,62.17,106.78,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
62,17.86,18.87,18.69,17.12,50.81,62.64,112.35,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1
63,18.67,18.79,18.75,17.19,50.83,63.08,107.86,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
64,17.88,18.83,18.72,17.2,50.82,62.63,108.05,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
65,18.36,18.76,18.62,17.19,50.35,62.21,111.83,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1
66,18.25,18.77,18.64,17.21,50.42,62.58,108.31,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
67,18.2,18.75,18.63,17.21,50.38,63.11,108.33,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
68,18.23,18.84,18.65,17.19,50.37,63.12,108.96,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
69,18.32,18.81,18.67,17.21,50.85,62.65,108.34,2,0,0,0,0,0,0,1,2,2,2,2,1,1,1
70,53.18,54.64,56.03,53.7,50.49,51.44,104.63,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,53.18,54.14,55.94,53.7,50.55,51.37,109.74,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,53.2,54.23,56.42,53.72,50.53,51.42,109.62,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,53.33,54.67,56.37,53.77,50.49,51.86,108.72,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,53.25,54.58,56.34,53.72,50.43,51.39,111.61,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,53.2,54.62,56.81,53.71,50.53,51.43,110.71,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,53.25,18.5,22.04,17.39,49.88,2114.98,104.41,4,1,0,0,0,0,0,0,1,2,0,2,1,1,1
77,53.65,18.93,22.03,18.04,49.77,2114.28,106.73,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
78,52.81,18.53,21.61,17.42,49.78,52.11,110.37,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
79,53.27,18.44,21.62,17.47,50.33,52.07,109.74,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
80,53.25,18.04,21.59,17.45,50.64,52.48,110.29,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
81,53.26,18.55,21.61,17.48,49.84,52.1,110.16,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
82,53.69,18.56,21.54,17.4,49.84,52.08,105.06,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
83,53.19,18.52,21.65,17.43,50.17,52.12,102.3,4,1,0,0,0,0,0,0,1,2,0,2,1,1,1
84,53.25,18.53,21.66,17.36,50.23,52.52,110.77,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
85,53.61,18.47,22.53,17.49,50.21,51.66,106.83,4,0,0,0,0,0,1,1,1,2,0,2,1,1,1
86,53.23,18.49,21.68,17.46,49.84,52.09,105.93,4,1,0,0,0,0,0,1,1,2,0,2,1,1,1
87,53.7,18.5,21.13,17.39,50.66,52.04,106.98,4,0,0,0,0,0,0,1,1,2,0,2,1,1,1
